"","dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"41","Alex Hulley_SydneyTrackClassic2020","Alex Hulley","SydneyTrackClassic2020",5,"69.4",947,757,1008,819,1068,875,1129,936,45.47,43.03,45,44.5,19.42,NA,19.1,NA,19.42,NA,19.31,NA,27.69,26.13,27.46,27.09,27.07,0.3,0.23,0.18,0.26,0.3,0.35,0.22,0.3,0.22,0.25,0.23,0.26,0.65,0.52,0.47,0.49,2.13,14,16,10,14,10,12,11,12,31,24,22,23
"42","Alex Hulley_SydneyTrackClassic2020","Alex Hulley","SydneyTrackClassic2020",6,"70.55",1054,802,1114,859,1171,913,1233,971,43.53,43.45,43.09,43.36,19.1,NA,18.14,NA,19.74,NA,18.99,NA,26.34,24.99,27.03,26.12,26.12,0.31,0.22,0.18,0.27,0.28,0.38,0.22,0.29,0.22,0.21,0.25,0.27,0.66,0.51,0.43,0.52,2.12,13,18,10,14,10,10,12,13,31,24,20,25
"43","Alex Hulley_WellingtonCapitalClassic2020","Alex Hulley","WellingtonCapitalClassic2020",1,"X",827,746,871,787,914,826,953,864,42.98,42.21,44.26,43.15,16.47,15.91,16.1,15.13,14.6,14.74,15.72,15.26,22.51,21.74,20.39,21.55,21.55,0.33,0.23,0.17,0.25,0.3,0.44,0.2,0.31,0.24,0.24,0.26,0.25,0.74,0.51,0.48,0.51,2.24,13,20,9,14,11,11,12,11,33,23,21,23
"44","Alex Hulley_WellingtonCapitalClassic2020","Alex Hulley","WellingtonCapitalClassic2020",2,"X",790,805,845,841,897,872,948,903,33.21,30.8,31.29,31.77,20.59,13.97,19.47,12.03,19.09,12.03,19.72,12.68,24.61,22.67,22.34,23.21,23.2,0.32,0.26,0.2,0.28,0.28,0.38,0.22,0.31,0.22,0.24,0.26,0.28,0.66,0.53,0.46,0.54,2.19,13,17,10,14,10,11,12,13,30,24,21,25
"45","Alex Hulley_WellingtonCapitalClassic2020","Alex Hulley","WellingtonCapitalClassic2020",3,"62.47",809,745,863,795,916,845,965,892,42.8,43.33,43.81,43.31,20.21,19.4,19.84,19.4,18.34,18.23,19.46,19.01,27.54,27.27,25.41,26.74,26.74,0.32,0.24,0.19,0.26,0.28,0.42,0.23,0.31,0.23,0.25,0.26,0.26,0.7,0.54,0.48,0.52,2.24,12,19,10,14,10,11,12,12,31,24,21,23
"46","Alex Hulley_WellingtonCapitalClassic2020","Alex Hulley","WellingtonCapitalClassic2020",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alex Hulley_WellingtonCapitalClassic2020","Alex Hulley","WellingtonCapitalClassic2020",5,"63.97",588,681,652,740,716,800,779,858,42.67,43.15,42.63,42.82,23.96,22.89,23.96,23.28,23.58,22.5,23.83,22.89,32.59,32.84,32.05,32.49,32.49,0.32,0.23,0.17,0.24,0.28,0.36,0.23,0.29,0.25,0.25,0.25,0.24,0.64,0.52,0.5,0.49,2.15,13,17,11,13,12,12,12,11,30,24,23,23
"48","Alex Hulley_WellingtonCapitalClassic2020","Alex Hulley","WellingtonCapitalClassic2020",6,"X",707,736,762,780,819,822,873,864,38.66,36.38,37.87,37.64,20.59,17.07,21.34,16.29,20.21,16.29,20.71,16.55,26.37,26.51,25.6,26.16,26.15,0.3,0.24,0.32,NA,0.29,0.38,0.2,0.31,0.22,NA,NA,NA,0.67,0.51,NA,NA,1.18,25,32,17,26,19,NA,NA,NA,57,43,NA,NA
"49","C Heston_CanberraTrackClassic2019","C Heston","CanberraTrackClassic2019",1,"55.99",1381,666,1467,737,1553,808,1638,881,39.54,39.54,40.66,39.91,21.9,17.71,21.9,17.71,21.65,18.21,21.82,17.88,28.4,28.4,28.54,28.45,28.45,0.28,0.24,0.16,0.29,0.26,0.38,0.2,0.28,0.22,0.22,0.28,0.29,0.64,0.48,0.44,0.57,2.13,12,18,9,13,10,10,13,14,30,23,21,27
"50","C Heston_CanberraTrackClassic2019","C Heston","CanberraTrackClassic2019",2,"X",1472,828,1542,897,1606,963,1670,1030,44.59,45.88,46.31,45.59,17.83,17.21,16.3,16.46,16.3,16.71,16.81,16.79,25.04,23.41,23.6,24.02,24.02,0.24,0.2,0.18,0.29,0.28,0.36,0.22,0.27,0.21,0.23,0.27,0.29,0.64,0.49,0.44,0.56,2.13,13,17,10,13,10,11,13,14,30,23,21,26
